"Issue Type","Summary","Epic Name","Epic Link","Description","Labels","Labels","Labels","Story Points","Priority","GENERATED FILE - DO NOT HAND-EDIT - source of truth: orbital_drift.planning.roadmap_data - regenerate: python -m orbital_drift.projections --write"
"Story","S1.2 Tile store + lakeFS contract tests (failing)","","E1 Ingestion and Data Lifecycle","AC: tile store I/O + lakeFS commit flow tests exist and fail before implementation. Trace: T014.","orbital-drift","tdd","","3","High",""
"Story","S1.3 config.py via pydantic-settings","","E1 Ingestion and Data Lifecycle","AC: AOI, bands, thresholds, cadence, endpoints all config-sourced (Constitution III); no magic numbers. Trace: T015.","orbital-drift","config","","3","High",""
"Story","S1.4 STAC client implementation","","E1 Ingestion and Data Lifecycle","AC: Earth Search sentinel-2-l2a queries with retry/backoff budget; contract tests green. Trace: T016.","orbital-drift","ingest","","5","High",""
"Story","S1.5 Tile store + cloud mask","","E1 Ingestion and Data Lifecycle","AC: SCL mask, per-scene cloud fraction, windowed COG reads, read-throughput micro-benchmark logged. Trace: T017.","orbital-drift","ingest","","5","High",""
"Story","S1.6 Local STAC catalog","","E1 Ingestion and Data Lifecycle","AC: catalog writer + query API green against contract tests. Trace: T018.","orbital-drift","ingest","","3","Medium",""
"Story","S1.7 lakeFS ops module","","E1 Ingestion and Data Lifecycle","AC: commit-per-ingest, branch-per-experiment, snapshot pinning; contract tests green. Trace: T019.","orbital-drift","data","","3","High",""
"Story","S1.8 Ingest DAG","","E1 Ingestion and Data Lifecycle","AC: scheduled, idempotent, bounded backfill; smoke test in tests/smoke/. Trace: T020.","orbital-drift","pipeline","","5","High",""
"Story","S1.9 Ingest operations runbook","","E1 Ingestion and Data Lifecycle","AC: docs/runbooks/03-ingest-ops.md incl. STAC outage response. Trace: T021.","orbital-drift","runbook","","2","Medium",""
"Story","S1.10 Observe two unattended ingests","","E7 Operator and Decision Gates","AC: plan.md Phase-1 gate (two scheduled real-scene ingests) observed; G-4 logged. Owner story. Trace: T022.","orbital-drift","owner","","","High",""
"Story","S2.1 Training contract tests (failing)","","E2 Training and Registry","AC: entrypoint interface, MLflow logging contract, registry transitions tested and failing first. Trace: T023.","orbital-drift","tdd","","3","High",""
"Story","S2.2 Label bootstrap","","E2 Training and Registry","AC: public land-cover weak labels for AOI with documented caveats (D-04). Trace: T024.","orbital-drift","data","","3","Medium",""
"Story","S2.3 Dataset assembly","","E2 Training and Registry","AC: pinned lakeFS snapshot to torchgeo patches. Trace: T025.","orbital-drift","data","","3","High",""
"Story","S2.4 Baseline training entrypoint","","E2 Training and Registry","AC: U-Net/ResNet50 with AMP + grad-accum, IoU/F1 eval, MLflow logs {lakeFS commit, git SHA, config hash}. Trace: T026.","orbital-drift","train","","5","High",""
"Story","S2.5 Argo training workflow","","E2 Training and Registry","AC: preprocess-train-eval-register(Staging) with GPU requests for 5060 Ti. Trace: T027.","orbital-drift","infra","","3","High",""
"Story","S2.6 Registry ops","","E2 Training and Registry","AC: promote/archive/rollback as MLflow stage transitions; unit tests green. Trace: T028.","orbital-drift","registry","","3","High",""
"Story","S2.7 Baseline workflow run + reproducibility","","E7 Operator and Decision Gates","AC: US2 reproducibility acceptance verified; wall-clock + GPU util recorded. Owner story. Trace: T029.","orbital-drift","owner","","","High",""
"Story","S2.8 Foundation-model spike (doc only)","","E2 Training and Registry","AC: docs/decisions/fm-selection.md recommends Clay vs Prithvi-EO with fine-tune config for 16GB. Trace: T030.","orbital-drift","research","","2","Medium",""
"Story","S2.9 Fine-tune entrypoint","","E2 Training and Registry","AC: per T030 recommendation; baseline-beats gate encoded in eval. Trace: T031.","orbital-drift","train","","5","Medium",""
"Story","S2.10 Fine-tune run + gate demo","","E7 Operator and Decision Gates","AC: plan.md Phase-2 gate; baseline-beats gate shown in both directions. Owner story. Trace: T032.","orbital-drift","owner","","","High",""
"Story","S3.1 Drift contract tests (failing)","","E3 CT Loop","AC: drift API, trigger idempotency, hysteresis on synthetic sequences tested and failing first. Trace: T033.","orbital-drift","tdd","","3","High",""
"Story","S3.2 Reference-stats builder","","E3 CT Loop","AC: reference stats from training snapshot. Trace: T034.","orbital-drift","drift","","3","High",""
"Story","S3.3 Drift metrics via standard libs","","E3 CT Loop","AC: PSI/KS per band + prediction-class shift via off-the-shelf libs only (Constitution II); Prometheus export. Trace: T035.","orbital-drift","drift","","3","High",""
"Story","S3.4 Trigger emitter","","E3 CT Loop","AC: hysteresis window + cooldown + queue-depth-1 coalescing. Trace: T036.","orbital-drift","drift","","3","High",""
"Story","S3.5 Drift DAG","","E3 CT Loop","AC: post-ingest sensor to compute/export/maybe-trigger; starvation vs shift distinguished. Trace: T037.","orbital-drift","pipeline","","3","High",""
"Story","S3.6 Retrain DAG + shadow eval","","E3 CT Loop","AC: trigger-snapshot-train-shadow-eval-gated-promotion; auto vs operator-approve from config. Trace: T038.","orbital-drift","pipeline","","5","High",""
"Story","S3.7 CT ops + rollback runbooks","","E3 CT Loop","AC: docs/runbooks/04-ct-ops.md + 05-rollback.md. Trace: T039.","orbital-drift","runbook","","2","Medium",""
"Story","S3.8 Forced-drift E2E + rollback drill","","E7 Operator and Decision Gates","AC: plan.md Phase-3 gate; rollback drill under 10 min (SC-004). Owner story. Trace: T040.","orbital-drift","owner","","","High",""
"Story","S4.1 Serving contract tests (failing)","","E4 Serving and Canary","AC: serving API, stage-loader, canary split tested and failing first. Trace: T041.","orbital-drift","tdd","","3","Medium",""
"Story","S4.2 FastAPI serving app","","E4 Serving and Canary","AC: loads by registry stage; canary ratio from config; per-version Prometheus metrics. Trace: T042.","orbital-drift","serve","","5","Medium",""
"Story","S4.3 Serving deployment manifests","","E4 Serving and Canary","AC: 8GB-GPU deployment with readiness/liveness and single-config revert. Trace: T043.","orbital-drift","infra","","3","Medium",""
"Story","S4.4 Canary operations runbook","","E4 Serving and Canary","AC: docs/runbooks/06-canary.md incl. regression response. Trace: T044.","orbital-drift","runbook","","2","Medium",""
"Story","S4.5 Canary regression demo","","E7 Operator and Decision Gates","AC: plan.md Phase-4 gate (canary regression alert + revert). Owner story. Trace: T045.","orbital-drift","owner","","","Medium",""
"Story","S5.1 kube-prometheus-stack + alert routes","","E5 Observability and Soak","AC: pinned values + Terraform; DAG-failure, drift-trigger, canary-regression routes. Trace: T046.","orbital-drift","infra","","3","High",""
"Story","S5.2 Grafana dashboards as code","","E5 Observability and Soak","AC: DAG health, Argo states, GPU util/mem/temp, drift series, serving per-version under dashboards/. Trace: T047.","orbital-drift","dashboards","","3","High",""
"Story","S5.3 Remaining runbooks + templates","","E5 Observability and Soak","AC: rebuild, GPU-operator recovery, scheduler failure, storage recovery runbooks; postmortem + soak-log templates. Trace: T048.","orbital-drift","runbook","","3","High",""
"Story","S5.4 Deploy observability + alert drills","","E7 Operator and Decision Gates","AC: all three alert classes fire in drills. Owner story. Trace: T049.","orbital-drift","owner","","","High",""
"Story","S5.5 P40 node join (optional lesson)","","E7 Operator and Decision Gates","AC: training job scheduled to node B; heterogeneous-GPU pain documented as incident (R-05). Owner story. Trace: T050.","orbital-drift","owner","","","Low",""
"Story","S5.6 Rebuild-runbook verification","","E7 Operator and Decision Gates","AC: platform torn down and rebuilt once from docs (SC-006). Owner story. Trace: T051.","orbital-drift","owner","","","High",""
"Story","S5.7 Six-week soak","","E7 Operator and Decision Gates","AC: Constitution VI definition of done - 6 weeks operated, 1 organic drift retrain, 3 incident postmortems, 1 rollback drill; only the operator marks done. Owner story. Trace: T052.","orbital-drift","owner","","","Highest",""
"Story","S6.1 Serving startup wiring and a healthy container","","E6 Reconciliation and Integration Hardening","AC: a production model is loaded outside tests, /healthz reports ok in the shipped image, and the Dockerfile port env names match the config fields they claim to set. Trace: T053.","orbital-drift","serve","","5","High",""
"Story","S6.2 Structured-logging rollout and message redaction","","E6 Reconciliation and Integration Hardening","AC: configure_logging runs at every production entrypoint and credential redaction covers the message path, not only extra= fields. Trace: T054.","orbital-drift","infra","","5","High",""
"Story","S6.3 Real request-body size limit","","E6 Reconciliation and Integration Hardening","AC: an oversized /predict body is rejected before it is read and parsed, proven by a test that measures the allocation rather than the comparison operator. Trace: T055.","orbital-drift","serve","","3","Medium",""
"Story","S6.4 Honest lakeFS simulation","","E6 Reconciliation and Integration Hardening","AC: commit ids are deterministic for a given scene, and every log line naming a lakeFS object says SIMULATED until a real client exists. Trace: T056.","orbital-drift","data","","3","High",""
"Story","S6.5 Retroactive review of T013-T052","","E6 Reconciliation and Integration Hardening","AC: every T013-T052 task carries a recorded spec-guardian and adversarial-reviewer outcome, and the tasks that pass are checked off. Required by RB-010 and owned by no part until RB-012. Trace: T057.","orbital-drift","governance","","8","Highest",""
"Story","S6.6 Close the import-linter contract hole","","E6 Reconciliation and Integration Hardening","AC: a port importing its own concrete counterpart breaks a contract, and a positive control proves lint-imports exits non-zero on a planted violation. Trace: T058.","orbital-drift","infra","","3","High",""
"Story","S6.7 Real MLflow adapter behind ModelRegistryPort","","E6 Reconciliation and Integration Hardening","AC: gated on the operator adapter-disposition decision; one port-conformance suite pins both the in-memory fake and the adapter. Trace: T059.","orbital-drift","registry","","5","Medium",""
"Story","S6.8 Real lakeFS adapter behind DataVersionPort","","E6 Reconciliation and Integration Hardening","AC: gated on the same operator decision; depends on T056 and on a composition root existing. Trace: T060.","orbital-drift","data","","5","Medium",""
"Story","S6.9 Close the D-012 config-wiring gaps","","E6 Reconciliation and Integration Hardening","AC: F1 through F5 of docs/decisions/012 are wired, drift/trigger.py first since its config fields already exist and name that file in their own descriptions. Trace: T061.","orbital-drift","config","","3","Medium",""
"Story","S6.10 Lock the registry rollback path","","E6 Reconciliation and Integration Hardening","AC: rollback_production either takes the lock or transition_stage stops promising an invariant it cannot hold. Trace: T062.","orbital-drift","registry","","2","Medium",""
"Story","S6.11 Fix the ECE weight shape mismatch","","E6 Reconciliation and Integration Hardening","AC: calibration_error asserts its weights and deviations are the same shape instead of letting numpy broadcast, expected calibration error is bounded in zero to one for every input, and the Hypothesis property test stops reddening CI intermittently. Trace: T063.","orbital-drift","train","","3","High",""
